cancelliere	cancelliera
truccatore	truccatora
scenotecnico	scenotecnica
avvocato	avvocatessa
notaio	notaia
assessore	assessora
drammaturgo	drammaturga
attore	attrice
tipografo	tipografa
calogero	calogera
scenografo	scenografa
critico teatrale	critica teatrale
litografo	litografa
carpentiere	carpentiera
intagliatore	intagliatrice
sindaco	sindaca
prete	suora
